Date,Référence_Produit,Stock_Initial,Entrées,Sorties,Stock_Final,Statut,Site
2025-08-19,P001,100,20,15,105,OK,Entrepot_A
2025-08-19,P002,50,100,40,110,OK,Entrepot_A
2025-08-19,P003,200,0,50,150,URGENT,Entrepot_B
2025-08-19,P004,10,20,5,25,OK,Entrepot_B
2025-08-19,P005,3,5,0,8,RUPTURE,Entrepot_C
2025-08-19,P006,60,15,10,65,OK,Entrepot_A
2025-08-19,P007,80,30,25,85,OK,Entrepot_B
2025-08-19,P008,120,60,40,140,OK,Entrepot_C
2025-08-19,P009,25,10,5,30,OK,Entrepot_A
2025-08-19,P010,15,8,6,17,OK,Entrepot_B
2025-08-19,P011,40,50,20,70,OK,Entrepot_C
2025-08-19,P012,70,25,30,65,URGENT,Entrepot_A
2025-08-19,P013,120,40,50,110,OK,Entrepot_B
2025-08-19,P014,20,15,10,25,OK,Entrepot_C
2025-08-19,P015,12,12,5,19,OK,Entrepot_A
